name,def,code
acier,[bleu ~] (inv) Bleu froid et passé  à reflets métalliques.,#3A8EBA
aigue-marine,(inv) Cyan lumineux  transparent.,#79F8F8
ardoise,[bleu ~] (inv) Bleu terne grisé. Plus bleu qu'ardoise.,#686F8C
azur,(inv) Bleu clair intense.,#74D0F1
azur,(inv) héraldique. Bleu.,#1E7FCB
azuré,De couleur azur ou d'une teinte légèrement bleutée.,#A9EAFE
bleu,Couleur du ciel sans nuages  du bleuet  du saphir. Couvre une grande variété de teintes  depuis le cyan et le turquoise  jusqu'à l'outremer  le bleu marine  ou le bleu lavande.,#4444D3
bleuet,[bleu ~] (inv) Bleu moyen légèrement fade. Couleur de la fleur de même nom.,#5472AE
canard,[bleu ~] (inv) Bleu moyen soutenu teinté de vert. Entre bleu sarcelle et bleu paon.,#048B9A
céleste,[bleu ~] (inv) Bleu clair  bleu du ciel.,#26C4EC
céruléen,[~  bleu ~] (littéraire) Bleu ciel intense ou bleu sombre.,#0F9DE8
charrette,[bleu ~] (inv) Synonyme de bleu charron,#17657D
charron,"[bleu ~] (inv) A la base  bleu profond tirant très légèrement sur le vert. Mais on trouve des bleus doux et fades  légèrement violetés  qui seraient également dénommés ""charron"".",#8EA2C6
ciel,[bleu ~] (inv) Bleu clair.,#77B5FE
cobalt,[bleu ~  bleu de ~] (inv) pigment. Bleu profond  tirant très légèrement sur le violet.,#22427C
cyan,(inv) Bleu clair et vif.,#2BFAFA
dragée,[bleu ~] (inv) Bleu céruléen pâle. Couleur des dragées bleues.,#DFF2FF
électrique,[bleu ~] (inv) Bleu vif  très lumineux.,#2C75FF
givré,[bleu ~] (inv) Bleu clair doux légèrement vert. Cyan moyen fade.,#80D0D0
Klein,[bleu ~] (inv) Sorte de bleu outremer profond.,#21177D
lapis-lazuli  lapis,[~  bleu ~] (inv) Bleu intense  bleu azur profond  de la couleur de la pierre semi-précieuse du même nom.,#26619C
lavande,[~  bleu ~] (inv) Bleu-mauve clair.,#9683EC
Majorelle,[bleu ~] (inv) Bleu outremer clair et intense en restant relativement doux.,#6050DC
marine,[~  bleu ~] (inv) Bleu à bleu verdâtre profond très foncé.,#03224C
mers du sud,[bleu des ~] (inv) Bleu turquoise profond.,#00CCCB
nuit,[bleu ~] (inv) Bleu profond tirant très légèrement sur le violet. Plus sombre et moins violet que le bleu outremer.,#0F056B
outremer,[bleu ~] (inv) Bleu profond et sombre  tirant sur le violet.,#2B009A
paon,[bleu ~] (inv) Bleu moyen tirant un peu sur le vert  mais moins que le bleu canard. Souvent brillant.,#67790
pastel,(inv) Bleu indigo doux. Colorant tiré de la plante de même nom.,#56739A
pétrole,[bleu ~] (inv) Bleu profond  tirant sur le vert. Bleu paon sombre.,#1D4851
Prusse,[bleu de ~] (inv) pigment. Bleu sombre légèrement mêlé de vert. Plus bleu que le bleu pétrole.,#24445C
roi,[bleu ~] (inv) Bleu moyen soutenu  bleu du drapeau français.,#318CE7
saphir,[~  bleu ~] (inv) Bleu intense et profond. Idée de transparence.,#0131B4
sarcelle,[~  bleu ~] (inv) Bleu-vert moyen.,#008E8E
turquin,[bleu ~] (inv) Bleu foncé grisé.,#425B8A
turquoise,[~  bleu ~  vert ~] (inv) Bleu ciel à bleu-vert clair  couleur de la pierre du même nom.,#25FDE9
