name,def,code
acier,[gris ~] (inv) Gris clair à reflets métalliques.,#AFAFAF,
anthracite,[~ gris ~] (inv) Gris neutre très sombre.,#303030,
ardoise,(inv) Gris foncé neutre à bleuté.,#5A5E6B,
bis,Gris moyen brunâtre,#766F64,
étain,[~ d'~] (inv) Blanc comme l'étain pur ou gris mat comme l'étain oxydé.,#EDEDED,
fer,[gris ~] (inv) Gris moyen terne.,#7F7F7F,
fer,(inv) héraldique. (rare) Gris.,#848484,
fumée,[bleu ~ gris ~] (inv) Bleu pâle grisâtre à gris bleuâtre.,#BBD2E1,
grège,(inv) Entre gris et beige.,#BBAE98,
gris,Couleur du ciel couvert du fer ou du mercure. Toute couleur résultant du mélange de blanc et de noir.,#BFBFBF,
Payne,[gris de ~] (inv) aquarelle. Gris moyen tirant sur le bleu mélange de noir de Mars et de blanc de zinc.,#677179,
perle,[gris ~] (inv) Gris doux neutre à très légèrement verdâtre avec un certain éclat blanc.,#CECECE,
pinchard,chevaux. (vieilli) Robe gris fer.,#CCCCCC,
plomb,[~ gris ~] (inv) Gris moyen bleuté.,#798081,
souris,[~ gris ~] (inv) Gris moyen doux.,#9E9E9E,
taupe,[~ gris ~] (inv) Gris foncé tirant très légèrement sur le brun.,#463F32,
tourterelle,[~ gris ~] (inv) Gris légèrement rosé.,#BBACAC,
