name,def,code
absinthe,[~  vert ~] (inv) Vert clair tirant sur le jaune. Couleur de la liqueur de même nom. Moins jaune et plus soutenu que le vert anis.,#7FDD4C
amande,[~  vert ~] (inv) Vert doux  tirant légèrement sur le jaune.,#82C46C
anglais,[vert ~] (inv) Vert sombre doux.,#18391E
anis,[vert ~] (inv) Vert clair passé teinté de jaune.,#9FE855
avocat,[~  vert ~] (inv) Vert sombre soutenu tirant sur le jaune.,#568203
bouteille,[vert ~] (inv) Vert foncé  chaud.,#096A09
céladon,[vert ~] (inv) Vert tendre à vert-gris rabattu.,#83A697
chartreuse,[vert ~] (inv) Vert acide et clair. Couleur de la boisson du même nom.,#C2F732
eau,[vert d'~] (inv) Vert pâle et doux.,#B0F2B6
émeraude,[~  vert ~] (inv) Vert intense  très légèrement bleuté de la pierre du même nom.,#01D758
empire,[vert ~] (inv) Vert sombre et soutenu  légèrement bleuté.,#00561B
épinard,[vert ~] (inv) Vert profond  de la couleur des feuilles de l'épinard.,#175732
glauque,Vert moyen tirant sur le bleu.,#649B88
herbe,[vert ~] (inv) Vert jaunâtre soutenu  couleur de l'herbe.,#3A9D23
Hooker,[vert de ~] (inv) Vert herbe jaunâtre et sombre.,#1B4F08
jade,[~  vert ~] (inv) Vert doux et laiteux.,#87E990
kaki,[vert ~] (inv) Vert olive tirant sur le brun.,#798933
lichen,[vert ~] (inv) Vert pâle et grisâtre  vert mousse clair.,#85C17E
lime,[vert ~] (inv) Vert-jaune vif et clair.,#9EFD38
malachite,[~  vert ~] (inv) Vert soutenu mais légèrement laiteux  couleur de la pierre du même nom.,#1FA055
mélèze,[vert ~] (inv) Vert doux moyen  très légèrement bleuté.,#386F48
menthe,[~  vert ~] (inv) Vert tendre moyen. Indique une certaine transparence.,#16B84E
menthe à l'eau,[~  vert ~] (inv) Vert clair et doux. Menthe délavé.,#54F98D
militaire,[vert ~] (inv) Entre vert kaki et vert sombre.,#596643
mousse,[vert ~] (inv) Vert doux.,#679F5A
olive,[~  vert ~] (inv) Verdâtre tirant sur le brun.,#708D23
opaline,[vert ~] (inv) Vert moyen  pâle et laiteux  tirant légèrement sur le bleu.,#97DFC6
perroquet,[vert ~] (inv) Vert vif et clair.,#3AF24B
pistache,[~  vert ~] (inv) Vert-jaune pâle.,#BEF574
poireau,[vert ~] (inv) Vert doux des feuilles de poireau.,#4CA66B
pomme,[vert ~] (inv) Vert vif de la pomme Grany.,#34C924
prairie,[vert ~] (inv) Vert herbe clair et saturé.,#57D53B
printemps,[vert ~] (inv) Vert lumineux et tendre  vert émeraude clair.,#00FE7E
sapin,[vert ~] (inv) Vert profond et sombre.,#95228
sauge,[vert ~] (inv) Vert-gris doux. Couleur des feuilles de la sauge commune.,#689D71
sinople,héraldique. Vert  généralement moyen à sombre.,#149414
tilleul,[vert ~] (inv) Jaune-vert clair à pâle.,#A5D152
Véronèse,[vert ~] (inv) pigment. Vert amande jaunâtre profond  caractéristique de l'oeuvre de Véronèse. Couleur de l'arsénate de cuivre.,#586F2D
vert,Couleur de l'herbe  des feuilles des arbres au printemps ou en été  de l'émeraude. Couvre toute une variété de couleurs  depuis le vert anis jusqu'au glauque.,#4FD94F
vert de gris,(inv) Mélange de gris et de vert neutre ou légèrement bleuté. Couleur du cuivre oxydé.,#95A595
vessie,[vert de ~] (inv) Vert herbe foncé.,#22780F
