name,def,code
abricot,(inv) Orange rosé doux.,#E67E30
carotte,(inv) Rouge tirant sur le roux  orange.,#F4661B
citrouille,(inv) Orange moyen. Couleur carotte en moins saturé  et tirant légèrement plus sur le jaune.,#DF6D14
cuivre,(inv) Orange-brun  les reflets pouvant aller jusqu'à un jaune chaud.,#B36700
mandarine,(inv) Orange clair et doux  couleur de la chair d'une mandarine.,#FEA347
melon,(inv) Orange jaunâtre  couleur de la chair du melon.,#DE9816
orange,Couleur du fruit de même nom  du pelage du renard  de la carotte. Par extension  toute couleur moyennement vive  du roux juqu'au melon.,#ED7F10
orangé,(inv) héraldique. Orange.,#FAA401
roux,Orangé tirant sur le marron ou le rouge. Plus rouge que rouille.,#AD4F09
tanné,héraldique. (rare) Orange très foncé.,#A75502
ventre de biche,(inv) Blanc roussâtre.,#E9C9B1
