name,def,code
balais,(inv) minéraux. Rose pâle ou rouge violacé. Exclusivement utilisé pour désigner la teinte particulière de la variété de rubis de même nom.,C4698F
bonbon,[rose ~] (inv) Rose vif tirant sur le magenta.,F9429E
chair,(inv) Incarnadin doré.,FEC3AC
cuisse de nymphe,(inv) Rose dragée clair  incarnadin clair.,FEE7F0
dragée,[rose ~] (inv) Entre rose clair et incarnadin. Couleur des dragées roses.,FEBFD2
fuchsia,[~  rose ~] (inv) Entre rose bonbon et pourpre.,FD3F92
incarnadin,Plus clair  un peu moins soutenu que l'incarnat,FE96A0
mauve,Magenta passé.,D473D4
pêche,(inv) Rose pâle légèrement doré.,FDBFB7
rose,Rouge ou pourpre pâle. Couleur de la rose commune. Recouvre des couleurs très variées  depuis le magenta vif jusqu'au rouge pâle.,FD6C9E
saumon,(inv) Rose-orangé. Couleur de la chair fumée du poisson de même nom.,F88E55
thé,[rose ~] (inv) Jaune rosé.,FF866A
