name,def,code
améthyste,(inv) Entre lilas clair et violet passé. Sous-entend une certaine transparence.,#884DA7
aubergine,(inv) Magenta-pourpre à violet  très sombre.,#370028
colombin,(vieilli) Rouge à violet  couleur de la gorge du pigeon.,#6A455D
gris de lin,(inv) Gris violâtre. Couleur de la filasse de lin.,#D2CAEC
indigo,(inv) Bleu foncé violacé.,#791CF8
lie de vin,(inv) Rouge violacé légèrement fade.,#AC1E44
lilas,(inv) Mauve violacé clair.,#B666D2
parme,Violet pâle.,#CFA0E9
prune,(inv) Violet tirant sur le bordeaux.,#811453
violet,Couleur de la violette  de l'améthyste. Plus généralement  est utilisé pour nommer toutes sortes de couleurs  depuis le bleu lavande jusqu'au zinzolin.,#8806CE
violine,Violet pourpre.,#A10684
zinzolin,Violacé rougeâtre et délicat.,#6C0277
