name,def,code
améthyste,(inv) Entre lilas clair et violet passé. Sous-entend une certaine transparence.,#884DA7
aubergine,(inv) Magenta-pourpre à violet  très sombre.,#370028
colombin,(vieilli) Rouge à violet  couleur de la gorge du pigeon.,#6A455D
gris de lin,(inv) Gris violâtre. Couleur de la filasse de lin.,#D2CAEC
indigo,(inv) Bleu foncé violacé.,#791CF8
lie de vin,(inv) Rouge violacé légèrement fade.,#AC1E44
lilas,(inv) Mauve violacé clair.,#B666D2
parme,Violet pâle.,#CFA0E9
prune,(inv) Violet tirant sur le bordeaux.,#811453
violet,Couleur de la violette  de l'améthyste. Plus généralement  est utilisé pour nommer toutes sortes de couleurs  depuis le bleu lavande jusqu'au zinzolin.,#8806CE
violine,Violet pourpre.,#A10684
zinzolin,Violacé rougeâtre et délicat.,#6C0277
argile,(inv) Généralement blanc grisâtre. Mais peut également correspondre à une teinte crème ocre pâle voire pêche grisâtre ou coquille d'oeuf.,#EFEFEF
blanc,Couleur de la neige des nuages du coton du lait.,#F9F9F9
cassé,[blanc ~] (inv) Blanc tirant sur le jaune ou le gris.,#FEFEE2
coquille d'oeuf,(inv) Blanc légèrement beige-rosé.,#FDE9E0 
crème,[~ blanc ~] (inv) Blanc légèrement teinté de jaune.,#FDF1B8#
écru,Blanc légèrement teinté de jaune. Couleur de la toile non blanchie.,#FEFEE0
Espagne,[blanc d'~] (inv) pigment. Blanc légèrement crème.,#FEFDF0
ivoire,[~ d'~] (inv) Blanc laiteux ou très légèrement gris-jaunâtre comme le vieil ivoire patiné.,#FFFFD4
lait,[blanc de ~ de ~] (inv) Blanc de la couleur du lait.,#FBFCFA
lunaire,[blanc ~] (inv) Blanc tirant légèrement sur un bleu froid.,#F4FEFE	
neige,[~ blanc ~] (inv) Blanc pur et éclatant comme la neige.,#FEFEFE 
opalin,Qui a une teinte laiteuse et bleuâtre avec des reflets irisés.,#F2FFFF
platine,(inv) Blond extrèmement pâle à blanc argenté.,#FAF0C5
zinc,[blanc de ~] (inv) pigment. Blanc légèrement bleuâtre.,#F6FEFE
acier,[bleu ~] (inv) Bleu froid et passé  à reflets métalliques.,#3A8EBA
aigue-marine,(inv) Cyan lumineux  transparent.,#79F8F8
ardoise,[bleu ~] (inv) Bleu terne grisé. Plus bleu qu'ardoise.,#686F8C
azur,(inv) Bleu clair intense.,#74D0F1
azur,(inv) héraldique. Bleu.,#1E7FCB
azuré,De couleur azur ou d'une teinte légèrement bleutée.,#A9EAFE
bleu,Couleur du ciel sans nuages  du bleuet  du saphir. Couvre une grande variété de teintes  depuis le cyan et le turquoise  jusqu'à l'outremer  le bleu marine  ou le bleu lavande.,#4444D3
bleuet,[bleu ~] (inv) Bleu moyen légèrement fade. Couleur de la fleur de même nom.,#5472AE
canard,[bleu ~] (inv) Bleu moyen soutenu teinté de vert. Entre bleu sarcelle et bleu paon.,#048B9A
céleste,[bleu ~] (inv) Bleu clair  bleu du ciel.,#26C4EC
céruléen,[~  bleu ~] (littéraire) Bleu ciel intense ou bleu sombre.,#0F9DE8
charrette,[bleu ~] (inv) Synonyme de bleu charron,#17657D
charron,"[bleu ~] (inv) A la base  bleu profond tirant très légèrement sur le vert. Mais on trouve des bleus doux et fades  légèrement violetés  qui seraient également dénommés ""charron"".",#8EA2C6
ciel,[bleu ~] (inv) Bleu clair.,#77B5FE
cobalt,[bleu ~  bleu de ~] (inv) pigment. Bleu profond  tirant très légèrement sur le violet.,#22427C
cyan,(inv) Bleu clair et vif.,#2BFAFA
dragée,[bleu ~] (inv) Bleu céruléen pâle. Couleur des dragées bleues.,#DFF2FF
électrique,[bleu ~] (inv) Bleu vif  très lumineux.,#2C75FF
givré,[bleu ~] (inv) Bleu clair doux légèrement vert. Cyan moyen fade.,#80D0D0
Klein,[bleu ~] (inv) Sorte de bleu outremer profond.,#21177D
lapis-lazuli  lapis,[~  bleu ~] (inv) Bleu intense  bleu azur profond  de la couleur de la pierre semi-précieuse du même nom.,#26619C
lavande,[~  bleu ~] (inv) Bleu-mauve clair.,#9683EC
Majorelle,[bleu ~] (inv) Bleu outremer clair et intense en restant relativement doux.,#6050DC
marine,[~  bleu ~] (inv) Bleu à bleu verdâtre profond très foncé.,#03224C
mers du sud,[bleu des ~] (inv) Bleu turquoise profond.,#00CCCB
nuit,[bleu ~] (inv) Bleu profond tirant très légèrement sur le violet. Plus sombre et moins violet que le bleu outremer.,#0F056B
outremer,[bleu ~] (inv) Bleu profond et sombre  tirant sur le violet.,#2B009A
paon,[bleu ~] (inv) Bleu moyen tirant un peu sur le vert  mais moins que le bleu canard. Souvent brillant.,#67790
pastel,(inv) Bleu indigo doux. Colorant tiré de la plante de même nom.,#56739A
pétrole,[bleu ~] (inv) Bleu profond  tirant sur le vert. Bleu paon sombre.,#1D4851
Prusse,[bleu de ~] (inv) pigment. Bleu sombre légèrement mêlé de vert. Plus bleu que le bleu pétrole.,#24445C
roi,[bleu ~] (inv) Bleu moyen soutenu  bleu du drapeau français.,#318CE7
saphir,[~  bleu ~] (inv) Bleu intense et profond. Idée de transparence.,#0131B4
sarcelle,[~  bleu ~] (inv) Bleu-vert moyen.,#008E8E
turquin,[bleu ~] (inv) Bleu foncé grisé.,#425B8A
turquoise,[~  bleu ~  vert ~] (inv) Bleu ciel à bleu-vert clair  couleur de la pierre du même nom.,#25FDE9
acajou,(inv) Brun-roux soutenu couleur du bois d'acajou.,#88421D
alezan,chevaux. Robe unie jaune rougeâtre. Constitue avec blanc café au lait et noir les quatre types de robes simples.,#A76726
auburn,cheveux. Châtain-roux à reflets cuivrés.,#9D3E0C
beige,Brun-jaune très clair légèrement grisâtre. Couleur de la laine naturelle.,#C8AD7F
beigeasse,(péjoratif) D'un beige sale.,#AFA77B
bistre,Brun-gris jaunâtre.,#856D4D
bitume,(inv) Brun brillant. Mélange naturel d'hydrocarbures de composition et de teinte variable allant du brun au noir.,#4E3D28
bronze,(inv) Brun-doré.,#614E1A
brou de noix,(inv) Brun foncé pouvant aller jusqu'au noir. De la couleur que donne le brou de noix au bois.,#3F2204
brun,Entre roux et noir. Couleur du cuir naturel de la noisette. Couvre les teintes moyennes à foncées de l'orange.,#5B3C11
bureau,(inv) (vieilli) Brun de la couleur de l'étoffe grossière de même nom.,#6B5731
cacao,Marron sombre chaud. Plus doux que chocolat.,#614B3A
cachou,(inv) Brun profond très sombre presque noir.,#2F1B0C
café au lait,(inv) Café clair couleur de la boisson du même nom.,#785E2F
cannelle,Brun doux tirant légèrement sur le rouge couleur de la cannelle.,#7E5835
caramel,(inv) Marron moyen chaud.,#7E3300
châtaigne,(inv) Brun clair grisâtre. Couleur du fruit du même nom.,#806D5A
châtain,Brun moyen. Couleur de la châtaigne.,#8B6C42
chaudron,(inv) Brun cuivré. Peut impliquer mais pas systématiquement une idée de brillance comme le cuivre.,#85530F
chocolat,(inv) Brun-marron foncé moyennement saturé.,#5A3A22
feuille morte,(inv) Brun-roux un peu terne noisette rougeâtre couleur des feuilles mortes.,#99512B
kaki,(inv) Brun jaunâtre.,#94812B
lavallière,(inv) reliure. Brun clair tirant sur le feuille morte.,#8F5922
marron,(inv) Brun tirant sur le rouge.,#582900
mordoré,Brun chaud à reflets dorés.,#87591A
noisette,(inv) De la couleur du fruit de même nom. Brun-orange doux.,#955628
ombre,[terre d'~] (inv) Ocre-brun à brun.,#625B48
puce,(inv) Brun-rouge foncé.,#4E1609
rouille,(inv) Brun-roux.,#985717
sépia,(inv) Brun clair un peu fade.,#A98C78
Sienne,"[terre de ~] (inv) Ocre-brun clair. Quand elle est dite ""brûlée"" elle tire sur le rouge.",#967C5C
tabac,(inv) Brun-roux couleur du tabac blond.,#9F551E
acier,[gris ~] (inv) Gris clair à reflets métalliques.,#AFAFAF
anthracite,[~ gris ~] (inv) Gris neutre très sombre.,#303030
ardoise,(inv) Gris foncé neutre à bleuté.,#5A5E6B
bis,Gris moyen brunâtre,#766F64
étain,[~ d'~] (inv) Blanc comme l'étain pur ou gris mat comme l'étain oxydé.,#EDEDED
fer,[gris ~] (inv) Gris moyen terne.,#7F7F7F
